Country or Dependency,Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age
Lithuania,2715340,-37338,43,62674,-32780,1.7,45
Namibia,2548663,46375,3,823290,-4806,3.4,22
Gambia,2427782,68962,239,10120,-3087,5.3,18
Botswana,2359585,47930,4,566730,3000,2.9,24
Gabon,2234448,53155,9,257670,3260,4,23
Lesotho,2145194,16981,71,30360,-10047,3.2,24
North Macedonia,2083359,-85,83,25220,-1000,1.5,39
Slovenia,2078989,284,103,20140,2000,1.6,45
Guinea-Bissau,1975718,47079,70,28120,-1399,4.5,19
Latvia,1882408,-20545,30,62200,-14837,1.7,44
Bahrain,1711057,60403,2239,760,47800,2,32
Equatorial Guinea,1410419,46999,50,28050,16000,4.6,22
Trinidad and Tobago,1400283,4515,273,5130,-800,1.7,36
Estonia,1326693,887,31,42390,3911,1.6,42
Timor-Leste,1322667,25326,89,14870,-5385,4.1,21
Mauritius,1272140,2100,626,2030,0,1.4,37
Cyprus,1208886,8784,131,9240,5000,1.3,37
Eswatini,1162233,12034,67,17200,-8353,3,21
Djibouti,990447,14440,43,23180,900,2.8,27
Fiji,897573,6492,49,18270,-6202,2.8,28
Réunion,896422,6385,358,2500,-1256,2.3,36
Comoros,872695,18715,467,1861,-2000,4.2,20
Guyana,787215,3786,4,196850,-6000,2.5,27
Bhutan,773069,8516,20,38117,320,2,28
Solomon Islands,689671,17061,25,27990,-1600,4.4,20
Macao,650846,8890,21645,30,5000,1.2,39
Montenegro,628080,79,47,13450,-480,1.8,39
Luxembourg,627704,10249,242,2590,9741,1.5,40
Western Sahara,599769,14876,2,266000,5582,2.4,28
Suriname,587541,5260,4,156000,-1000,2.4,29
Cabo Verde,557026,6052,138,4030,-1342,2.3,28
Maldives,542151,9591,1802,300,11370,1.9,30
Malta,441750,1171,1380,320,900,1.5,43
Brunei,438202,4194,83,5270,0,1.8,32
Guadeloupe,400136,68,237,1690,-1440,2.2,44
Belize,398845,7275,17,22810,1200,2.3,25
Bahamas,393893,3762,39,10010,1000,1.8,32
Martinique,375213,-289,354,1060,-960,1.9,47
Iceland,341628,2212,3,100250,380,1.8,37
Vanuatu,308337,7263,25,12190,120,3.8,21
French Guiana,299958,7850,4,82200,1200,3.4,25
Barbados,287437,350,668,430,-79,1.6,40
New Caledonia,285972,2748,16,18280,502,2,34
French Polynesia,281191,1621,77,3660,-1000,2,34
Mayotte,273905,6665,728,375,0,3.7,20
Sao Tome & Principe,219844,4103,228,960,-1680,4.4,19
Samoa,198643,1317,70,2830,-2803,3.9,22
Saint Lucia,183774,837,301,610,0,1.4,34
Channel Islands,174140,1604,915,190,1351,1.5,43
Guam,169031,1481,313,540,-506,2.3,31
Curaçao,164211,669,370,444,515,1.8,42
Kiribati,119760,1843,147,810,-800,3.6,23
Micronesia,115231,1208,164,700,-600,3.1,24
Grenada,112614,520,331,340,-200,2.1,32
St. Vincent & Grenadines,111002,351,284,390,-200,1.9,33
Aruba,106845,452,593,180,201,1.9,41
Tonga,105901,1201,147,720,-800,3.6,22
U.S. Virgin Islands,104398,-153,298,350,-451,2,43
Seychelles,98453,608,214,460,-200,2.5,34
Antigua and Barbuda,98069,811,223,440,0,2,34
Isle of Man,85112,449,149,570,,,
Andorra,77287,123,164,470,,,
Dominica,72017,178,96,750,,,
Cayman Islands,65854,774,274,240,,,
Bermuda,62237,-228,1246,50,,,
Marshall Islands,59259,399,329,180,,,
Northern Mariana Islands,57619,343,125,460,,,
Greenland,56787,98,0,410450,,,
American Samoa,55169,-121,276,200,,,
Saint Kitts & Nevis,53264,376,205,260,,,
Faeroe Islands,48896,185,35,1396,,,
Sint Maarten,42960,488,1261,34,,,
Monaco,39290,278,26337,1,,,
Turks and Caicos,38806,526,41,950,,,
Saint Martin,38778,664,730,53,,,
Liechtenstein,38147,109,238,160,,,
San Marino,33944,71,566,60,,,
Gibraltar,33689,-10,3369,10,,,
British Virgin Islands,30266,201,202,150,,,
Caribbean Netherlands,26265,244,80,328,,,
Palau,18109,86,39,460,,,
Cook Islands,17567,16,73,240,,,
Anguilla,15026,134,167,90,,,
Tuvalu,11817,146,393,30,,,
Wallis & Futuna,11203,-193,80,140,,,
Nauru,10836,68,541,20,,,
Saint Barthelemy,9882,30,470,21,,,
Saint Helena,6080,18,16,390,,,
Saint Pierre & Miquelon,5789,-28,25,230,,,
Montserrat,4993,3,50,100,,,
Falkland Islands,3497,103,0,12170,,,
Niue,1628,11,6,260,,,
Tokelau,1360,17,136,10,,,
Holy See,801,2,2003,0,,,
